global_ordinal,route,pipeline_action,decision_before,input_pixel_sha256,output_pixel_sha256,output_sha256,output_width,output_height
62,preserve,preserve-and-continue,correction-candidate,c5cad1e0c503b478d159d3b63c7de8a90a10d5f0dfa2566362cdbe7e145cd144,c5cad1e0c503b478d159d3b63c7de8a90a10d5f0dfa2566362cdbe7e145cd144,5653f54f024d89402274300351af77b0e0b96ee03f92173a173aaf1bc99081dd,1694,1312
63,preserve,preserve-and-continue,correction-candidate,e9c2606cba19d7bb31895cd4a9ee497f10ce0443957c1fe1ee2d628f99ee094d,e9c2606cba19d7bb31895cd4a9ee497f10ce0443957c1fe1ee2d628f99ee094d,c629670e23b2e06198a47d6f49233e681dbeb97f8387e72893bf4f5a83e8110b,1629,1248
64,preserve,preserve-and-continue,correction-candidate,b4bde7b7d47a4f5d3b59ffb59ebe7ad23530945308a038fbd8d2b2bc4486b457,b4bde7b7d47a4f5d3b59ffb59ebe7ad23530945308a038fbd8d2b2bc4486b457,5ebf698bae7ed2c249f1619f490fc0aafb2ddcf097d30003c3b9b94ac2522df0,1540,1227
65,preserve,preserve-and-continue,correction-candidate,38339a3e7b81cacd085caf31da25f0c23bcb6fd8403487b8820fdea0402ac336,38339a3e7b81cacd085caf31da25f0c23bcb6fd8403487b8820fdea0402ac336,fe4b9d482f057fc6205040967353fdf2bed4ae0a2d600f52cb4ca6909a158e8b,1663,1270
66,preserve,preserve-and-continue,correction-candidate,0b6832ccfa5c5d990c7f8f23d0d36e6fcb24ce90e4e895fe36f41f7b798043c2,0b6832ccfa5c5d990c7f8f23d0d36e6fcb24ce90e4e895fe36f41f7b798043c2,4273920d731bd6b5c38858316e8cc3e0d779faf18c58ec3856248485d08b557e,1668,1286
67,preserve,preserve-and-continue,correction-candidate,ccaa65cac720a329a455e4d293c06331bc5fa76a1b37334cab78f4c77d860949,ccaa65cac720a329a455e4d293c06331bc5fa76a1b37334cab78f4c77d860949,851b0e91725574ff55fd115b4f6476af243ab14c4814c9ab75b64e6917ad2e40,1591,1233
68,preserve,preserve-and-continue,correction-candidate,14a03d15a8f1c3b044d4aae25eef1a86b17bd1e479b8e85ec3ecf6ba7705863e,14a03d15a8f1c3b044d4aae25eef1a86b17bd1e479b8e85ec3ecf6ba7705863e,cf1b4d30bd4f8360bfaeb2da633cc571cc3fc043d26ab1c614b24e7e216adc52,1577,1220
69,preserve,preserve-and-continue,correction-candidate,f2bec06e30be0d2ecff23b27a6ff76582d2e309dad2d70c8fe23a0c80babefdc,f2bec06e30be0d2ecff23b27a6ff76582d2e309dad2d70c8fe23a0c80babefdc,277cded1f98802a0e06fe4f3fbcbfab2659b3d4fc5db808eb0dd8a83bac8c914,1601,1228
70,preserve,preserve-and-continue,correction-candidate,408b21c90463fbcbec982ae96350110168ec88375b26eaa42ec8a5234dbddc23,408b21c90463fbcbec982ae96350110168ec88375b26eaa42ec8a5234dbddc23,eebbdcb38fcb22fd936fc2f386647a8ba72cd0f814746a90200f4447cd5623bf,1583,1207
71,preserve,preserve-and-continue,correction-candidate,58f49c1f6e6d3c04785204fe37b855d7127a520c818d888cf99d515cd697b9d0,58f49c1f6e6d3c04785204fe37b855d7127a520c818d888cf99d515cd697b9d0,fb38c04b7072576d8eb7f3dc42ebca5eb8893a1484a84f01ee6d65eaf2d2ad8c,1567,1205
72,preserve,preserve-and-continue,correction-candidate,f4e122388b049beada1e01d2c581b97666fc18123cb4833a62bcde283359ad69,f4e122388b049beada1e01d2c581b97666fc18123cb4833a62bcde283359ad69,c5c60f7c989d31271536351ed1e5610cb84a9a9b268cc448f9e9ac11a3d21110,1566,1205
73,preserve,preserve-and-continue,correction-candidate,b83822c04dc1baeedcb872a3d1c4179f2f5431a070cbbf0cac300101fd5304c0,b83822c04dc1baeedcb872a3d1c4179f2f5431a070cbbf0cac300101fd5304c0,dd7743f45cf9702d41d27c278e37a2918214f207ce26944f8b19f2dd6622dcd2,1585,1222
74,preserve,preserve-and-continue,correction-candidate,e828f8d69daaf1e67fdd26fb651c3db43b594fffe956748daf78ac585302da73,e828f8d69daaf1e67fdd26fb651c3db43b594fffe956748daf78ac585302da73,67b97eeec375498741bfb501dfc64cb440c32ff1fc19d32244af8924fef3ce2e,1646,1275
75,preserve,preserve-and-continue,correction-candidate,cf263adba4a265f2eccea192f5df67c1db42292ee6324db64ab7c37bc22b85a1,cf263adba4a265f2eccea192f5df67c1db42292ee6324db64ab7c37bc22b85a1,fd9f22b3a1e58245e801621c7da4c2a64fcc300dadbb19f5911692f0635ceb55,1633,1256
76,preserve,preserve-and-continue,correction-candidate,65c93a891e28e7d824e99165e81f47844f1b3920d0d3eab6f2d89169015b5858,65c93a891e28e7d824e99165e81f47844f1b3920d0d3eab6f2d89169015b5858,e1604ed55ea1f440042ed692febdb25580914f665505081eb80f9955470e65b0,1699,1304
77,preserve,preserve-and-continue,correction-candidate,3712895f68444311c6efa310682fbe1bd8effe75ab0bdf02c61b5e7a47da1408,3712895f68444311c6efa310682fbe1bd8effe75ab0bdf02c61b5e7a47da1408,8e1b0a7ac78bad9a4b82971efd5b368dfd8f9cb11df71b48115106e5b1e28f08,1553,1211
78,preserve,preserve-and-continue,correction-candidate,af437ffce54f1af4fa1f381a7655fd9fbb7bdc9e7a1aee178902f04b4116104d,af437ffce54f1af4fa1f381a7655fd9fbb7bdc9e7a1aee178902f04b4116104d,6831ff007e013654e8b9f96ec762f3f2c23281e596b7009d0e621b842fe79404,1695,1343
79,preserve,preserve-and-continue,correction-candidate,b4b88bdd71f391c0d2a01a538e0b5f9bb1550685478405fb129f1e834c65e5f0,b4b88bdd71f391c0d2a01a538e0b5f9bb1550685478405fb129f1e834c65e5f0,f3fceb25e56baba6bba9266a5ffb163515022a7e862c9d50bd97eb8d78b21752,1720,1325
80,preserve,preserve-and-continue,correction-candidate,121c477fdccafa312813767a791c9e549c112cde1d2c83f98c9c78f191dd45e9,121c477fdccafa312813767a791c9e549c112cde1d2c83f98c9c78f191dd45e9,725efc38e40c21a49759dabdf42a650fef278fb6d159199dbdadefee220007b3,1548,1189
81,preserve,preserve-and-continue,correction-candidate,08f5ead95733a1280b7a542ff2c209c27f504a3a9e7284125fba069ef88c555c,08f5ead95733a1280b7a542ff2c209c27f504a3a9e7284125fba069ef88c555c,5cfb04529f1f3faef515fff20abc2825c09aa1a878c59d5d4cde4fc87c4c1818,1655,1272
82,preserve,preserve-and-continue,correction-candidate,4591b025f9f4e8ba68b58373bc3af270f176ef855402e923c5ec937d8760bd05,4591b025f9f4e8ba68b58373bc3af270f176ef855402e923c5ec937d8760bd05,399b678cc595ae00f9168a61f6d70c4a3ec82ef6919c545a1dfd35d8aea89635,1606,1234
83,preserve,preserve-and-continue,correction-candidate,c9a78e48f823b0b8d729174c8eb2dc2ac511ed471c04caddab0c17e5a2c5ded7,c9a78e48f823b0b8d729174c8eb2dc2ac511ed471c04caddab0c17e5a2c5ded7,95a616d44b6139b6f7fa013ad948133032593c45fb49fc955fe57c8688a274d0,1645,1270
